Designator,Mid X,Mid Y,Rotation,Layer
BT1,111.0,-108.0,180.0,bottom
C1,142.0,-102.0,0.0,bottom
D1,181.5,-108.0,90.0,bottom
D2,171.3,-108.0,90.0,bottom
D3,166.5,-108.0,90.0,bottom
D4,161.7,-108.0,90.0,bottom
D5,156.9,-108.0,90.0,bottom
D6,152.08,-108.0,90.0,bottom
Q2,182.2,-112.25,180.0,bottom
R2,169.0,-108.0,270.0,bottom
R3,164.2,-108.0,90.0,bottom
R4,159.4,-108.0,90.0,bottom
R5,137.6,-99.3,180.0,bottom
R6,154.6,-108.0,270.0,bottom
R7,149.8,-108.0,270.0,bottom
R8,136.7,-101.9,90.0,bottom
SW1,103.8975,-127.1,90.0,bottom
U1,138.525,-108.0,270.0,bottom
